12;190;60;68
13;190;60;68
14;170;50;71
15;160;40;72
16;160;30;78
17;160;30;79
18;170;30;81
19;190;40;78
20;210;40;78
21;210;30;80
22;220;50;79
23;230;50;90
24;230;50;93
1;230;40;94
2;240;30;95
3;230;30;97
4;240;30;96
5;240;30;97
6;240;30;97
7;210;20;96
8;210;20;98
9;220;30;96
10;200;30;98
11;200;40;98
12;200;50;98
13;200;50;92
14;210;40;91
15;200;50;91
16;190;50;88
17;190;50;82
18;190;60;82
19;200;60;83
20;200;60;82
21;200;60;81
22;200;60;82
23;190;60;90
24;190;70;89
1;200;60;90
2;200;60;94
3;210;60;95
4;220;60;95
5;220;50;96
6;230;60;96
7;240;60;96
8;230;50;95
9;230;50;95
10;240;40;94
11;240;40;94
12;240;40;93
13;240;30;91
14;230;30;92
15;250;30;92
16;240;30;93
17;240;20;91
18;230;30;93
19;230;20;94
20;210;20;96
21;210;20;98
22;200;20;97
23;200;30;97
24;150;20;98
1;160;30;98
2;160;30;98
3;160;40;98
4;180;40;98
5;190;60;96
6;190;60;96
7;200;50;93
8;200;50;95
9;200;60;94
10;200;60;92
11;200;70;90
12;210;70;88
13;200;70;85
14;210;60;85
15;210;60;93
16;210;40;95
17;200;50;95
18;200;40;92
19;200;50;94
20;190;40;91
21;190;50;91
22;200;50;91
23;200;50;90
24;260;60;81
1;220;40;87
2;230;40;87
3;230;40;86
4;230;40;88
5;220;30;91
6;240;30;92
7;230;30;90
8;260;30;93
9;300;30;91
10;320;40;88
11;330;40;83
12;320;50;82
13;340;40;72
14;320;40;73
15;330;40;71
16;320;30;75
17;300;20;78
18;280;20;82
19;270;20;89
20;230;20;93
21;230;20;93
22;240;20;93
23;230;30;93
24;210;20;97
1;210;30;92
2;220;30;86
3;220;30;87
4;210;30;88
5;200;40;82
6;190;30;82
7;200;40;82
8;190;50;80
9;200;50;79
10;190;50;79
11;200;50;77
12;200;60;74
13;200;50;75
14;200;60;71
15;190;60;74
16;200;50;75
17;190;60;74
18;200;60;74
19;200;70;74
20;200;60;75
21;210;70;74
22;200;70;74
23;200;70;74
24;200;60;77
1;200;60;78
2;200;60;78
3;200;50;78
4;200;60;78
5;200;60;78
6;190;50;79
7;200;50;79
8;200;60;79
9;200;70;78
10;200;60;90
11;210;70;92
12;210;60;95
13;220;70;91
14;220;70;88
15;240;70;85
16;240;60;80
17;250;50;80
18;250;50;75
19;280;40;80
20;250;30;81
21;240;20;85
22;200;20;90
23;220;30;91
24;210;30;93
1;210;40;93
2;220;40;93
3;220;40;93
4;210;40;92
5;220;40;92
6;200;40;93
7;200;30;93
8;200;40;92
9;200;40;91
10;190;40;88
11;200;50;83
12;170;50;79
13;180;60;78
14;180;60;78
15;170;50;78
16;160;40;77
17;180;60;79
18;170;60;83
19;170;60;83
20;180;70;85
21;180;70;85
22;180;80;82
23;180;80;81
24;190;80;79
1;190;80;86
2;190;80;87
3;190;70;89
4;190;70;90
5;210;70;90
6;200;70;90
7;220;60;93
8;220;60;93
9;210;60;87
10;200;60;86
11;200;60;90
12;190;70;90
13;190;60;84
14;190;60;84
15;190;70;82
16;190;80;77
17;190;80;76
18;190;80;78
19;190;70;77
20;210;90;75
21;200;100;74
22;200;100;79
23;200;90;87
24;210;80;81
1;200;90;79
2;190;70;78
3;200;70;75
4;190;80;70
5;190;70;67
6;190;70;67
7;190;70;68
8;190;70;68
9;190;70;66
10;190;70;66
11;190;80;66
12;190;70;68
13;210;60;78
14;210;70;79
15;210;60;86
16;280;50;89
17;240;30;90
18;220;30;89
19;220;40;88
20;220;50;88
21;220;50;89
22;230;40;89
23;230;40;88
24;220;40;89
1;210;40;90
2;200;30;92
3;210;40;92
4;200;30;93
5;200;30;94
6;170;20;96
7;180;30;96
8;170;30;95
9;150;30;94
10;160;30;90
11;150;30;86
12;160;40;84
13;170;40;79
14;170;40;78
15;160;50;77
16;150;40;79
17;150;40;80
18;150;50;78
19;150;60;76
20;150;60;77
21;150;60;79
22;150;60;80
23;160;50;81
24;150;40;80
1;160;40;77
2;160;50;76
3;160;50;77
4;160;40;77
5;160;40;79
6;160;40;79
7;170;40;77
8;170;40;77
9;170;30;79
10;190;30;78
11;190;40;86
12;200;40;92
13;200;40;88
14;220;40;86
15;230;50;84
16;210;50;80
17;210;60;74
18;240;70;74
19;250;70;73
20;250;60;74
21;250;50;72
22;230;40;75
23;230;40;76
24;220;50;77
1;220;40;82
2;220;40;86
3;220;40;85
4;220;40;84
5;220;40;85
6;210;40;87
7;210;40;89
8;220;40;91
9;220;30;90
10;240;30;84
11;250;40;78
12;290;30;76
13;270;40;66
14;280;40;77
15;310;50;79
16;310;30;86
17;270;20;88
18;270;20;88
19;270;20;88
20;280;20;87
21;290;20;86
22;280;20;87
23;290;20;86
24;280;30;92
1;270;20;97
2;280;20;96
3;300;20;88
4;310;20;86
5;310;20;91
6;330;20;90
7;310;20;95
8;320;20;93
9;320;30;89
10;330;20;83
11;350;20;79
12;350;30;69
